time,equity
2024-06-05,208.0522798666078
2024-06-06,207.83019757800872
2024-06-07,207.13605875133362
2024-06-10,209.107947437076
2024-06-11,212.9921172918354
2024-06-12,220.55090817724871
2024-06-13,223.72294071254638
2024-06-14,226.64211273776527
2024-06-17,233.94016468122985
2024-06-18,233.9462494656855
2024-06-20,233.67079753964336
2024-06-21,233.56338755410297
2024-06-24,233.08021008273232
2024-06-25,239.30774568378877
2024-06-26,239.77162564487367
2024-06-27,241.1625896494127
2024-06-28,238.1268504969056
2024-07-01,241.24909178582658
2024-07-02,247.1647935123888
2024-07-03,251.92809024739282
2024-07-05,252.3033064020331
2024-07-08,252.3033064020331
2024-07-09,252.3033064020331
2024-07-10,252.3033064020331
2024-07-11,252.3033064020331
2024-07-12,252.3033064020331
2024-07-15,252.3033064020331
2024-07-16,252.3033064020331
2024-07-17,252.3033064020331
2024-07-18,252.3033064020331
2024-07-19,252.3033064020331
2024-07-22,252.3033064020331
2024-07-23,252.3033064020331
2024-07-24,252.17721779313652
2024-07-25,243.7777452889222
2024-07-26,250.7516357671637
2024-07-29,252.21575577639388
2024-07-30,241.92831893678863
2024-07-31,263.081144781387
2024-08-01,244.12451364856804
2024-08-02,226.21061026251644
2024-08-05,226.21061026251644
2024-08-06,226.21061026251644
2024-08-07,226.21061026251644
2024-08-08,226.21061026251644
2024-08-09,226.21061026251644
2024-08-12,226.09756148177556
2024-08-13,242.5444948232811
2024-08-14,242.96424178139495
2024-08-15,261.2389311807776
2024-08-16,261.90519272350537
2024-08-19,271.7501607944452
2024-08-20,270.1234370231815
2024-08-21,273.710166760931
2024-08-22,260.95802722490816
2024-08-23,268.9167959140897
2024-08-26,261.260957271831
2024-08-27,263.4079589740295
2024-08-28,254.74785712831505
2024-08-29,253.45118753923825
2024-08-30,261.82508262469764
2024-09-03,238.6523759995539
2024-09-04,236.68456660999306
2024-09-05,237.42730839851697
2024-09-06,218.6540815119033
2024-09-09,219.46744552655719
2024-09-10,220.05752642292552
2024-09-11,221.3615540073072
2024-09-12,227.90950786827136
2024-09-13,230.89206125265414
2024-09-16,227.80663865207958
2024-09-17,227.9437714515948
2024-09-18,224.961218067212
2024-09-19,241.96529287599193
2024-09-20,240.4225684980011
2024-09-23,242.20526873629177
2024-09-24,245.62982575529696
2024-09-25,245.69631969325474
2024-09-26,250.7507392749514
2024-09-27,246.56338103055546
2024-09-30,248.42533942097566
2024-10-01,238.21983596406807
2024-10-02,239.08527344745983
2024-10-03,238.55273266452855
2024-10-04,246.70741003325836
2024-10-07,238.82683344753983
2024-10-08,248.87870383274003
2024-10-09,254.6961852074894
2024-10-10,253.83245136717355
2024-10-11,254.46369170863272
2024-10-14,260.77550921229323
2024-10-15,250.6838430131066
2024-10-16,250.5508891906864
2024-10-17,251.28208720168902
2024-10-18,255.60254986953277
2024-10-21,256.9644542304208
2024-10-22,257.69508442367055
2024-10-23,246.13818814946328
2024-10-24,251.82509922818463
2024-10-25,255.94605519789323
2024-10-28,256.17857330275274
2024-10-29,263.054301006394
2024-10-30,257.3787720884449
2024-10-31,238.3809989318453
2024-11-01,243.30851253081966
2024-11-04,241.11241278868016
2024-11-05,249.99883858980647
2024-11-06,269.6803859652098
2024-11-07,281.9106176928304
2024-11-08,282.5253001101484
2024-11-11,282.0643549256556
2024-11-12,280.68129183390676
2024-11-13,279.57422600385433
2024-11-14,274.2422190787929
2024-11-15,255.00283622854508
